"","Aesch_Ag","Aesch_Cho","Aesch_Eumen","Aesch_Pers","Aesch_PromV","Aesch_Septem","Aesch_Supp","Athenaeus_Book12","Athenaeus_Book13","DioSic_Book11","Hdt_Book1","Hesiod_Theog","Hesiod_Works","Homer_Iliad","HomerJr_Odyssey","Lysias_Orat1","Lysias_Orat14","Plato_Euth","Plut_Lyc","Polybius_Book1","Soph_Ajax","Soph_Antig","Soph_Elec","Soph_OT","Soph_Trach","Thuc_Book1"
"Aesch_Ag",0,0.715433347292345,0.763167063134693,0.943738878339763,0.878542546861196,0.776280552611487,0.719033836132607,0.787090412921879,0.739908220146609,1.04109610549347,0.811759723237789,1.1264565870269,1.22172961706657,1.80017685878374,1.63761741338139,0.983936022781467,0.961686212253448,0.909443489239598,0.770606756446321,0.90628942122026,0.655762433743135,0.650297112472832,0.650605079530798,0.645156630931808,0.678150464302166,0.850596458775797
"Aesch_Cho",0.715433347292345,0,0.742649630235137,1.04667227350795,0.836346898240444,0.889798606306321,0.807029614780749,1.05752813023437,0.956433127472643,1.25095598149195,0.973582970662987,1.21475148731342,1.30519871982987,1.75842254695688,1.61084297888334,1.17724582736021,1.14029850307154,1.05783982318536,0.952470947954753,1.11990841976565,0.831995451790524,0.794231565620065,0.74893156957077,0.816481973119874,0.827069713348096,1.06735586334644
"Aesch_Eumen",0.763167063134693,0.742649630235137,0,0.923215429728254,0.782961411504513,0.774476877117035,0.844401158954489,0.999881819698512,0.916504513847185,1.16423893072797,0.934143579293405,1.06057862477803,1.10596634818729,1.65654519038598,1.47492881392616,1.12318317603286,1.06306814120726,0.929843668123383,0.894406667320559,1.04074868769281,0.749789301145591,0.723471679270482,0.748172667677758,0.775861402043137,0.828417622789475,0.902156031879941
"Aesch_Pers",0.943738878339763,1.04667227350795,0.923215429728254,0,1.05493899970032,0.997420019248614,1.03131173271991,1.09957739667295,1.12136680376573,1.20856098304269,1.01605214658144,1.07713086181173,1.16166956777304,1.48209070250608,1.3958912103508,1.2596719742196,1.22427086402498,1.12672629341137,1.07077584286836,1.14635192272022,0.999727444950755,0.964743351945545,1.05219868678261,1.08732519270053,0.99423717280992,0.997659941385093
"Aesch_PromV",0.878542546861196,0.836346898240444,0.782961411504513,1.05493899970032,0,0.938068074446747,0.840478218088154,1.10997860738948,1.04178832862919,1.2684020906323,1.04393377716537,1.26345331058814,1.27123147131068,1.66303805439311,1.48738340855562,1.2208959101145,1.16258004392761,1.05625590367392,1.03523805468106,1.14379458422188,0.794641802663396,0.818886769794379,0.780418445373651,0.861547039453746,0.914689789857571,1.03674400395839
"Aesch_Septem",0.776280552611487,0.889798606306321,0.774476877117035,0.997420019248614,0.938068074446747,0,0.877488354785977,1.04109689934422,0.955539428666323,1.1539421962422,0.915898589766471,1.10584483408777,1.17578412042242,1.64893376500863,1.50327520873798,1.29259243902035,1.15557619084112,1.05226387999793,0.95236311757762,1.06801264612021,0.876066999107163,0.820865057440049,0.904735330862378,0.89921368472808,0.928240753564788,0.9925018198661
"Aesch_Supp",0.719033836132607,0.807029614780749,0.844401158954489,1.03131173271991,0.840478218088154,0.877488354785977,0,0.893863440166423,0.809978453153296,1.14639638262722,0.866684131974181,1.21246081263532,1.27085225169857,1.7580711603943,1.61892797135146,1.11378812304597,1.06655564628342,1.02515551086479,0.84965811300289,0.998879049788418,0.842013147318257,0.76677956709587,0.791183572339915,0.840096404591885,0.862358871766077,0.934256864320521
"Athenaeus_Book12",0.787090412921879,1.05752813023437,0.999881819698512,1.09957739667295,1.10997860738948,1.04109689934422,0.893863440166423,0,0.431446601995429,0.842140088404578,0.587663354499064,1.32300972184412,1.42777732807663,2.05742109873471,1.88118389710372,0.802287939960679,0.77048105004143,0.869682500867361,0.486020151507297,0.603384258883204,0.858684502799928,0.833860536004893,0.90496844826241,0.792940182448387,0.840936182395162,0.667834731999506
"Athenaeus_Book13",0.739908220146609,0.956433127472643,0.916504513847185,1.12136680376573,1.04178832862919,0.955539428666323,0.809978453153296,0.431446601995429,0,0.824393802941073,0.564453944801367,1.30396861317453,1.4472867728055,2.07281721385897,1.89211376798632,0.818327475076554,0.815080873587027,0.869662464048481,0.511902640671765,0.613850882927213,0.805030178785933,0.789543328825946,0.834623414467368,0.748169735705392,0.820418416433965,0.657511276886598
"DioSic_Book11",1.04109610549347,1.25095598149195,1.16423893072797,1.20856098304269,1.2684020906323,1.1539421962422,1.14639638262722,0.842140088404578,0.824393802941073,0,0.673300012686142,1.34916341513849,1.46709460057976,2.04543711451542,1.91197788861155,0.992876298902635,0.885450430380726,0.955600418718174,0.687042043126911,0.576570768291083,1.12321516222299,1.06590914334897,1.16685634537124,1.07316972211576,1.142567800651,0.728397959819383
"Hdt_Book1",0.811759723237789,0.973582970662987,0.934143579293405,1.01605214658144,1.04393377716537,0.915898589766471,0.866684131974181,0.587663354499064,0.564453944801367,0.673300012686142,0,1.11350553355647,1.31752176646702,1.84380611225358,1.69065056061152,0.878870400550639,0.842156091303465,0.848003085257834,0.498308012078154,0.570776787748503,0.878881245820793,0.840100570246152,0.899866337511071,0.820980694257609,0.885654747713494,0.553109057172903
"Hesiod_Theog",1.1264565870269,1.21475148731342,1.06057862477803,1.07713086181173,1.26345331058814,1.10584483408777,1.21246081263532,1.32300972184412,1.30396861317453,1.34916341513849,1.11350553355647,0,0.958517334933974,1.22731924053251,1.09731280752623,1.48313555183592,1.36132604850764,1.17357378751282,1.15143574358099,1.24233671973036,1.19784714276809,1.12649815568169,1.29063816785906,1.25243776016763,1.22251514496557,1.09331887795309
"Hesiod_Works",1.22172961706657,1.30519871982987,1.10596634818729,1.16166956777304,1.27123147131068,1.17578412042242,1.27085225169857,1.42777732807663,1.4472867728055,1.46709460057976,1.31752176646702,0.958517334933974,0,1.20106358304607,1.08789649857526,1.52625114592526,1.3887724798816,1.30165855971989,1.28887169961292,1.36445620860707,1.27432059899755,1.16814862405319,1.3122520564068,1.3464329529537,1.21557562219118,1.16513033672269
"Homer_Iliad",1.80017685878374,1.75842254695688,1.65654519038598,1.48209070250608,1.66303805439311,1.64893376500863,1.7580711603943,2.05742109873471,2.07281721385897,2.04543711451542,1.84380611225358,1.22731924053251,1.20106358304607,0,0.511189746922307,2.0623675310379,2.11147752446148,1.90376496292029,1.94628915266086,2.01276100273055,1.86315767627758,1.74287204204806,1.89487160943027,1.90529306826865,1.76983699583953,1.8220162461718
"HomerJr_Odyssey",1.63761741338139,1.61084297888334,1.47492881392616,1.3958912103508,1.48738340855562,1.50327520873798,1.61892797135146,1.88118389710372,1.89211376798632,1.91197788861155,1.69065056061152,1.09731280752623,1.08789649857526,0.511189746922307,0,1.8749583689728,1.88571145916703,1.7143689359992,1.75813786612529,1.85193780076581,1.64121123875956,1.58692512077633,1.68879081296442,1.72757000541665,1.57791905571404,1.64633063247835
"Lysias_Orat1",0.983936022781467,1.17724582736021,1.12318317603286,1.2596719742196,1.2208959101145,1.29259243902035,1.11378812304597,0.802287939960679,0.818327475076554,0.992876298902635,0.878870400550639,1.48313555183592,1.52625114592526,2.0623675310379,1.8749583689728,0,0.685885718250017,0.90580890754095,0.74663799095817,0.829992032339844,1.01195011178976,0.981564973372961,0.944361447162593,0.891879734468928,1.0350942153192,0.800742151259325
"Lysias_Orat14",0.961686212253448,1.14029850307154,1.06306814120726,1.22427086402498,1.16258004392761,1.15557619084112,1.06655564628342,0.77048105004143,0.815080873587027,0.885450430380726,0.842156091303465,1.36132604850764,1.3887724798816,2.11147752446148,1.88571145916703,0.685885718250017,0,0.687769773927567,0.620627272459659,0.725438046675698,0.942771940233896,0.894887070555804,0.872562004578734,0.85262071305102,0.956838368466821,0.75563256793771
"Plato_Euth",0.909443489239598,1.05783982318536,0.929843668123383,1.12672629341137,1.05625590367392,1.05226387999793,1.02515551086479,0.869682500867361,0.869662464048481,0.955600418718174,0.848003085257834,1.17357378751282,1.30165855971989,1.90376496292029,1.7143689359992,0.90580890754095,0.687769773927567,0,0.688530701402535,0.819404291546578,0.888462944055436,0.845328899398236,0.859346135168429,0.800976666206247,0.844912838300682,0.687255411763688
"Plut_Lyc",0.770606756446321,0.952470947954753,0.894406667320559,1.07077584286836,1.03523805468106,0.95236311757762,0.84965811300289,0.486020151507297,0.511902640671765,0.687042043126911,0.498308012078154,1.15143574358099,1.28887169961292,1.94628915266086,1.75813786612529,0.74663799095817,0.620627272459659,0.688530701402535,0,0.442762247275105,0.787491518713698,0.766652966526343,0.801061053947357,0.69453683555306,0.807654908927652,0.501090556079768
"Polybius_Book1",0.90628942122026,1.11990841976565,1.04074868769281,1.14635192272022,1.14379458422188,1.06801264612021,0.998879049788418,0.603384258883204,0.613850882927213,0.576570768291083,0.570776787748503,1.24233671973036,1.36445620860707,2.01276100273055,1.85193780076581,0.829992032339844,0.725438046675698,0.819404291546578,0.442762247275105,0,0.934287679500594,0.902635690609577,0.949422268237978,0.87598932719081,1.01257766210944,0.635460176561812
"Soph_Ajax",0.655762433743135,0.831995451790524,0.749789301145591,0.999727444950755,0.794641802663396,0.876066999107163,0.842013147318257,0.858684502799928,0.805030178785933,1.12321516222299,0.878881245820793,1.19784714276809,1.27432059899755,1.86315767627758,1.64121123875956,1.01195011178976,0.942771940233896,0.888462944055436,0.787491518713698,0.934287679500594,0,0.635995192046624,0.624562840520953,0.584625257263175,0.717910560225515,0.843407998297803
"Soph_Antig",0.650297112472832,0.794231565620065,0.723471679270482,0.964743351945545,0.818886769794379,0.820865057440049,0.76677956709587,0.833860536004893,0.789543328825946,1.06590914334897,0.840100570246152,1.12649815568169,1.16814862405319,1.74287204204806,1.58692512077633,0.981564973372961,0.894887070555804,0.845328899398236,0.766652966526343,0.902635690609577,0.635995192046624,0,0.643639516358414,0.605956573931854,0.704841155688539,0.834147196422327
"Soph_Elec",0.650605079530798,0.74893156957077,0.748172667677758,1.05219868678261,0.780418445373651,0.904735330862378,0.791183572339915,0.90496844826241,0.834623414467368,1.16685634537124,0.899866337511071,1.29063816785906,1.3122520564068,1.89487160943027,1.68879081296442,0.944361447162593,0.872562004578734,0.859346135168429,0.801061053947357,0.949422268237978,0.624562840520953,0.643639516358414,0,0.566463188130875,0.649556213255703,0.90076231969175
"Soph_OT",0.645156630931808,0.816481973119874,0.775861402043137,1.08732519270053,0.861547039453746,0.89921368472808,0.840096404591885,0.792940182448387,0.748169735705392,1.07316972211576,0.820980694257609,1.25243776016763,1.3464329529537,1.90529306826865,1.72757000541665,0.891879734468928,0.85262071305102,0.800976666206247,0.69453683555306,0.87598932719081,0.584625257263175,0.605956573931854,0.566463188130875,0,0.59783787259368,0.783360464792372
"Soph_Trach",0.678150464302166,0.827069713348096,0.828417622789475,0.99423717280992,0.914689789857571,0.928240753564788,0.862358871766077,0.840936182395162,0.820418416433965,1.142567800651,0.885654747713494,1.22251514496557,1.21557562219118,1.76983699583953,1.57791905571404,1.0350942153192,0.956838368466821,0.844912838300682,0.807654908927652,1.01257766210944,0.717910560225515,0.704841155688539,0.649556213255703,0.59783787259368,0,0.851968117381104
"Thuc_Book1",0.850596458775797,1.06735586334644,0.902156031879941,0.997659941385093,1.03674400395839,0.9925018198661,0.934256864320521,0.667834731999506,0.657511276886598,0.728397959819383,0.553109057172903,1.09331887795309,1.16513033672269,1.8220162461718,1.64633063247835,0.800742151259325,0.75563256793771,0.687255411763688,0.501090556079768,0.635460176561812,0.843407998297803,0.834147196422327,0.90076231969175,0.783360464792372,0.851968117381104,0
