,sWord count
,10/24/2015
Aeschylus_Agamemnon.xml,9527
Aeschylus_Ch.xml,5501
Aeschylus_Eumenides.xml,6148
Aeschylus_Persians.xml,5961
Aeschylus_Prometheus.xml,6823
Aeschylus_Seven.xml,5974
Aeschylus_Suppliants.xml,5748
Athenaeus_Book12-13.xml,43115
DiodorusSic_Book11.xml,24223
Herodotus_Book1.xml,31158
Hesiod_Shield.xml,3705
Hesiod_Theogony.xml,7761
Hesiod_Works.xml,6654
Iliad_Iliad.xml,123727
Odyssey_Odyssey.xml,98229
Plutarch_Alcibiades.xml,10640
Plutarch_Lycurgus.xml,9996
Polybius_Book1.xml,26894
Sophocles_Ajax.xml,9110
Sophocles_Antigone.xml,8443
Sophocles_Electra.xml,10121
Sophocles_OT.xml,10752
Sophocles_Trachiniae.xml,8316
Thucydides_Book1.xml,23913
,
,502439
